MODEL,K,SEED,SILHOUETTE,DB,CR
Kmeans,2,3,0.6470829477290835,0.5273288003271529,-0.09411010626981153
Kmeans,2,12,0.6470829477290838,0.5273288003271529,-0.09411010626981153
Kmeans,2,17,0.6470829477290835,0.5273288003271529,-0.09411010626981153
Kmeans,2,21,0.6470829477290839,0.5273288003271529,-0.09411010626981153
Kmeans,2,30,0.647082947729084,0.5273288003271529,-0.09411010626981153
Kmeans,3,3,0.43571251493276597,1.1113997766827397,-0.10558547902529994
Kmeans,3,12,0.4357125149327661,1.1113997766827397,-0.10558547902529994
Kmeans,3,17,0.4539866159689555,1.1765848379485762,-0.10653941638801119
Kmeans,3,21,0.45398661596895523,1.1765848379485762,-0.10653941638801119
Kmeans,3,30,0.47337994089778124,0.9690586583798753,-0.10388744920806131
Kmeans,4,3,0.45998441881840213,1.1756834650967358,-0.10967936603022556
Kmeans,4,12,0.4158642180259177,1.138455284193821,-0.10471584065545636
Kmeans,4,17,0.4319427404866463,1.0687401979648632,-0.11246889290663484
Kmeans,4,21,0.37376436482825004,1.2383527639063885,-0.11072212765513954
Kmeans,4,30,0.4912451647420314,0.9071498257891291,-0.10539877230902064
Kmeans,5,3,0.41314402560657165,1.1297129605130138,-0.10829709565795463
Kmeans,5,12,0.5161469092007175,0.6997473252557578,-0.10954713880941779
Kmeans,5,17,0.45098503334554274,1.038372480460748,-0.1119272817063357
Kmeans,5,21,0.36055656248155055,1.2322842265802452,-0.11468316349778926
Kmeans,5,30,0.3134180950509632,1.430976208011404,-0.07814135178134776
Kmeans,6,3,0.2385756685414784,1.8876609458970535,-0.11610897921416516
Kmeans,6,12,0.4651023531078281,0.9970996173310062,-0.11642518102860425
Kmeans,6,17,0.2724335692813769,1.447125198240435,-0.08045294894175795
Kmeans,6,21,0.35651006195128365,1.18541283541325,-0.11532151246411707
Kmeans,6,30,0.3701607985045401,1.3291967328831469,-0.1177851863550171
Kmeans,7,3,0.3066124749838838,1.4480880161730232,-0.11525885766485519
Kmeans,7,12,0.41898646047578236,1.0738154395476065,-0.11726017041676716
Kmeans,7,17,0.21309569978536602,2.574934589387925,-0.08470964255145516
Kmeans,7,21,0.3664052752810344,1.1474810635959014,-0.11556882626933776
Kmeans,7,30,0.36082174247687304,2.243413524096193,-0.07983887394165454
Kmeans,8,3,0.22661339811183104,1.598179770780434,-0.08051975354895041
Kmeans,8,12,0.3335921881210934,2.5070657432565344,-0.11977800634290979
Kmeans,8,17,0.21906382135587227,2.497088247737934,-0.08408134124909089
Kmeans,8,21,0.2911575395047383,1.4552705031327857,-0.0887889893832112
Kmeans,8,30,0.31049169061873366,2.181615642186303,-0.08379645478239053
Kmeans,9,3,0.24617436248705515,2.2190712678117674,-0.08324262077269384
Kmeans,9,12,0.393286059458344,2.34010430787463,-0.11991337792643578
Kmeans,9,17,0.3445754900921376,2.142400359827908,-0.08853428709155245
Kmeans,9,21,0.2932174052321883,1.453288723640518,-0.09083555630601262
Kmeans,9,30,0.32420386440766763,1.3195169457892468,-0.08824723690080723
Kmeans,10,3,0.19140311728142867,2.1929211782929197,-0.08407855788464264
Kmeans,10,12,0.3508640712035358,1.3982125460175883,-0.08800155759925309
Kmeans,10,17,0.39277371772420144,1.080762962868234,-0.08477569706402409
Kmeans,10,21,0.29067961023928485,1.4349530156510248,-0.0898653134023724
Kmeans,10,30,0.3868681180411007,1.2627381282055894,-0.0885200873394697
Kmeans,11,3,0.17194743305363658,2.212656720367338,-0.08522924661997128
Kmeans,11,12,0.31481591208505705,2.4036274461831004,-0.09285938402280172
Kmeans,11,17,0.38673551813212126,1.0965714189615352,-0.08526690883484495
Kmeans,11,21,0.1982272260447965,1.6937569262081675,-0.09324285536524737
Kmeans,11,30,0.3339627923359739,1.4042639619632027,-0.12092921290878848
Kmeans,12,3,0.16844861471951322,2.204748519240507,-0.08631023818237447
Kmeans,12,12,0.28855052972876916,2.2769535397499556,-0.09296118603987405
Kmeans,12,17,0.3690536808370479,1.170499767404823,-0.0860617815958048
Kmeans,12,21,0.19820595703067245,1.7340096410400223,-0.09393782476885311
Kmeans,12,30,0.3178181575929044,2.300220530215592,-0.09433774553683125
Kmeans,13,3,0.28914508889745993,1.8954618723693748,-0.08326047353409428
Kmeans,13,12,0.30202667092912644,2.2652864620535706,-0.09298955454777894
Kmeans,13,17,0.2902440685789381,2.168264386417029,-0.09314324657403934
Kmeans,13,21,0.24995514590656742,1.5422725264174235,-0.09124110814460931
Kmeans,13,30,0.3113837577267604,2.204562992131972,-0.09650187380570692
Kmeans,14,3,0.30432729276686843,1.7913534651889855,-0.08685058850209808
Kmeans,14,12,0.31040555263862857,2.1506175325686208,-0.09280806544945717
Kmeans,14,17,0.3074954870489626,2.0457158993666757,-0.093287650864304
Kmeans,14,21,0.2790703106616583,1.51095471136152,-0.09191332732591351
Kmeans,14,30,0.3258008650051605,2.096744382047305,-0.09627941152946279
Kmeans,15,3,0.30564976960103263,1.7695158022352726,-0.08944441046242675
Kmeans,15,12,0.292820484478018,2.1597971760818626,-0.09369671264041776
Kmeans,15,17,0.35360453371912237,1.9677058019754268,-0.09349625662806464
Kmeans,15,21,0.27906477194925283,1.4700494184912214,-0.09181627179356323
Kmeans,15,30,0.30358871653482083,2.246264200785428,-0.06582891393458418
Kmeans,16,3,0.2687930952967283,1.7824397893200281,-0.08939141333335657
Kmeans,16,12,0.2378339022953589,2.2694882577004933,-0.0943715635742743
Kmeans,16,17,0.3560978707570579,1.930739448038995,-0.09391629617381395
Kmeans,16,21,0.2898769997060827,1.4485339913439201,-0.09151571799719813
Kmeans,16,30,0.3410052666729254,1.8915746891040683,-0.09613992365472813
Kmeans,17,3,0.2530158629141398,1.7094190122823705,-0.08937287424161328
Kmeans,17,12,0.2435653720162694,2.2172971405672772,-0.09474301173921634
Kmeans,17,17,0.2574679708737434,2.216293971506294,-0.09159458177121484
Kmeans,17,21,0.34038292636575074,1.3929851673805171,-0.09201177598733044
Kmeans,17,30,0.33116284334950574,1.8808716203673208,-0.09677685362069209
Kmeans,18,3,0.25474950862161105,1.943945908880209,-0.09335336742257087
Kmeans,18,12,0.25174340375176674,2.172282918543226,-0.09475165454750714
Kmeans,18,17,0.2524239308602479,2.193153761405126,-0.09229170758780884
Kmeans,18,21,0.3355175531707629,1.3720106940201586,-0.09221718157568506
Kmeans,18,30,0.2964872070057155,1.8791286887178007,-0.09753588491066126
Kmeans,19,3,0.27070299068136633,1.950537171215179,-0.09376378918469831
Kmeans,19,12,0.23852365425806277,2.1093199226700565,-0.09467956677604794
Kmeans,19,17,0.21339649354245144,2.192204051906277,-0.09257939208792708
Kmeans,19,21,0.33958054443706126,1.342738495967302,-0.0923314321086194
Kmeans,19,30,0.30860976974305576,1.8302564152986378,-0.09754096110126237
Kmeans,20,3,0.20397110430390028,2.051652357893234,-0.09479462281258128
Kmeans,20,12,0.24379985996183065,2.0601313705298177,-0.09476911161394852
Kmeans,20,17,0.21583002819286273,2.1197403002104176,-0.09463010917629405
Kmeans,20,21,0.3835237501709992,1.2820862882739152,-0.09001211334370336
Kmeans,19,30,0.2922995368021176,2.076470146700899,-0.09762401955224496
