TRAINING TIME,HIDDEN LAYERS,LEARNING RATE,FOLDS,SEED,CLASSIFIER SEED,DATA,CORRECTLY CLASSIFIED,INCORRECTLY CLASSIFIED

1000,90,0.01,10,10,5,NOT_NORMALIZED,94.16342412451363,5.836575875486381
1000,90,0.01,10,10,10,NOT_NORMALIZED,93.16286826014452,6.837131739855475
1000,90,0.01,10,10,15,NOT_NORMALIZED,93.60755975541967,6.392440244580323
1000,90,0.01,10,10,20,NOT_NORMALIZED,92.32907170650361,7.670928293496387
1000,90,0.01,10,10,25,NOT_NORMALIZED,93.10728182323513,6.89271817676487
