@relation sementesnormalizado
			
@attribute ALONGAMENTO numeric
@attribute AREA	numeric
@attribute AREA_CONVEA numeric
@attribute AREA_PREENCHIDA numeric
@attribute BORDAS numeric
@attribute BRILHO numeric
@attribute CENTROIDE_PONDERADO_EIXO_X numeric
@attribute CENTROIDE_PONDERADO_EIXO_Y numeric
@attribute CENTROIDE_EIXO_X numeric
@attribute CENTROIDE_EIXO_Y numeric
@attribute CIRCUNFERENCIA numeric
@attribute COMPRIMENTO_DE_EIXO_MENOR numeric
@attribute COMPRIMENTO_DE_EIXO_MAIOR numeric
@attribute COMPRIMENTO numeric
@attribute CONTRASTE numeric
@attribute CONVEXCIDADE	numeric
@attribute COR_VERMELHA	numeric
@attribute COR_VERDE numeric
@attribute COR_AZUL numeric
@attribute COR_MEDIA numeric
@attribute COR_DOMINANTE numeric
@attribute CORRELACAO numeric
@attribute DESVIO_PADRAO numeric
@attribute DIAMETRO numeric
@attribute DIAMETRO_EQUIVALENTE	numeric
@attribute DIAMETRO_MAXIMO_DE_FERET numeric
@attribute DIAMETRO_MINIMO_DE_FERET numeric
@attribute DIAMETRO_MEDIO_DE_FERET numeric
@attribute EXCENTRICIDADE numeric
@attribute ENERGIA numeric
@attribute ENTROPIA numeric
@attribute ESFERICIDADE	numeric
@attribute EXTENSAO numeric
@attribute FORMA numeric
@attribute HOMOGENIEDADE numeric
@attribute INTENSIDADE_MAXIMA numeric
@attribute INTENSIDADE_MINIMA numeric
@attribute INTENSIDADE_MEDIA numeric
@attribute MANCHAS numeric
@attribute QUANTIDADE_DE_MANCHAS numeric
@attribute MEDIA_DE_PIXEL_DO_ELEMENTO numeric
@attribute NUMERO_DE_EULLER numeric
@attribute ORIENTACAO numeric
@attribute PERIMETRO numeric
@attribute RAIO numeric
@attribute REDONDEZA numeric
@attribute RELACAO_DE_FERET numeric
@attribute SOLIDEZ numeric
@attribute VOLUME numeric
@attribute LARGURA numeric
@attribute REGIAO numeric
@attribute CLASS {Aglutinada,Quebradiça,Moldada,Achatada,Compartimentada,Chapada}
@DATA	
0.28885,0.431750014706568,1.30768583632394E-06,1.14951249175225E-06,0.107063248815826,0.036301189715773,2.41866851797671E-06,2.24337877970065E-06,2.41866851797671E-06,2.24337877970065E-06,0.055028854617278,0.000934758340696,0.001123841586076,0.536585365853659,0.458888943672704,0.02610043462583,0.687195574679158,0.884257024208825,0.877679172278578,0.784231084403523,1,0.500621408763172,0.257731958762887,0.006727217852485,0.001380528989372,0.008067707556482,0.006727217852485,0.008084659870292,0.738030872011005,0.258450717569534,0.14097655399371,7.65803879010206E-05,0.487537947814964,0,0.223187134916482,0.841269841269841,0,0.640659757007478,1,0.013000520020801,0.033292686594519,0.62000649561546,0.515634005163076,0.072683933399744,0.00885788379477,0.213634801995179,3.35367699970613E-05,0.736749551947737,0.006727203628052,0.006727217852485,14,Aglutinada
0.32372,0.641985274544574,0.002268399030743,0.001071920398559,0.076666799347212,0.02743656044733,3.66970395830949E-06,0.058860127277347,3.66970395830949E-06,0.058860127277347,0.02343503988006,0.046715536267902,0.026047566638146,0.739837398373984,0.59819633006967,0.020192133439469,0.044426643044677,0.561655992943194,0.483606729352413,0.502250648509168,1,0.500385156053043,0.214812969134457,0.008103820866958,0.003353397789493,0.00951817477636,0.008103820866958,0.009657695490064,0.782642996644448,0.299418369674535,0.108116083237264,6.53409777364429E-05,0.165527292703975,0,0.119174575336266,0.892857142857143,0,0.645503801552233,1,0.012406210534136,0.024004268444335,0.513857312980405,0.159018293072642,0.070157962146008,0.010670482415498,0.01232725656327,3.45947101109572E-05,0.30488192690904,0.008103839603307,0.008103820866958,1,Aglutinada
0.31126,0.654131620931371,0,0,0.282756836365084,0.122812962197575,2.60215371589219E-06,2.09382019438728E-06,2.60215371589219E-06,2.09382019438728E-06,0.218782221466058,0.000756669180944,0.000336624631603,0.780487804878049,0.636993758470291,0.122642168787223,0.676836851455572,0.70668946254594,0.405546252532419,0.691539197746702,1,0.500298396611708,0.761962604208843,0.001789822295809,0.000796760539112,0.001772544649872,0.001789822295809,0.001999265130481,0.772766851683678,0.236905522309981,0.681251420153234,0.250759462284961,1,0,0.098878406856852,0.916666666666667,0,0.768682926602498,1,0.286234306515118,0.297241321642148,0.362509472772545,0.499986383707133,0.252743880745695,0.002356723851103,0.857736796940599,4.41339516421359E-05,1,0.001789804327922,0.001789822295809,5,Aglutinada
0.34254,0.31449410487957,0.069649527119007,0.063400211970104,0.199124308402659,0.091165771163312,0.314707306080332,0.309570268830061,0.314707306080332,0.309570268830061,0.283055849863901,0.251863498716364,0.133081892843541,0.51219512195122,0.444578475289795,0.093105920176547,0.823429324207227,0.834785869512495,0.517982027926984,0.829022893922756,0,0.50002364745626,0.857642673975561,0.001626577483766,0.250853481488885,0.001635544507749,0.001626577483766,0.001826952345108,0.790532224867549,0.321401304776545,0.805797034040488,0.412833561580588,0.404754827904994,0,0.260413278078724,0.912698412698413,0,0.710248346384826,1,0.256964564296858,0.405286896923976,0.373173108151997,0.717977119070313,0.169671445851715,0.002141712853748,0.001198136582018,4.32168878459276E-05,0.599080097634326,0.001626582675702,0.001626577483766,4,Aglutinada
0.02323,0.414827329151487,6.97432446039434E-06,4.59804996700899E-06,0.317758627552442,0.174668584057194,0.027800509555075,0.026421767474388,0.027800509555075,0.026421767474388,0.391142393164438,0.002568498608196,0.000225777345393,0.438516260162602,0.386469967375825,0.176751445608683,0.066785236230016,0.63551934147705,0.406098138846074,0.652111447489241,0,0.499974991176322,0.891425545831127,0.001538995652889,0.002391664003641,0.001496291493292,0.001538995652889,0.001707810164913,0.208704565350276,0.302668438093872,0.850980181330601,0.318566893991508,0.304517250497601,0,0.326534941940229,0,0,0,1,0.407696307852314,0.454536653189707,0.193461080437371,0.978979222648619,0.245752988473033,0.002026455776561,0.086549953263673,4.52678008398343E-05,0.504467886604343,0.001539023740165,0.001538995652889,5,Aglutinada
0.08215,0.629130455226813,5.40510145680561E-05,2.64387873103017E-05,0.280113839907654,0.067968533845245,4.25352049713146E-06,0.043785369670686,4.25352049713146E-06,0.043785369670686,0.227843370312122,0.002869224800665,0.010409321320649,0.56859756097561,0.497813833639798,0.068113543292184,0.507077979203328,0.558335821368213,0.475251589717841,0.532321782710013,1,0.500430111430444,0.508144641355468,0.001738962103112,0.005466484096311,0.001783809011542,0.001738962103112,0.001967452477674,0.34810430611608,0.28313804539686,0.380151248773395,0.230305941557273,0.204464159428994,0,0.224106473558406,0.98015873015873,0,0.646796941402712,1,0.167446697867915,0.122130526619122,0.555591642308109,0.049482719812818,0.245877508182724,0.002289755295781,0.029353868450959,4.20324325923609E-05,0.342926881661553,0.00173895548026,0.001738962103112,0,Aglutinada
0.5082,0.415660340645432,0.312165967999184,0.184565150919495,0.18982008518091,0.099967208523051,1.50124252839934E-06,0.396181440288062,1.50124252839934E-06,0.396181440288062,0.140615500377124,0.294598801255451,0.488944200741781,0.764227642276423,0.638105928888094,0.093735561695282,0.636466266594399,0.76643460402222,0.662394608634245,0.700466335582358,1,0.501920687742651,0.600647833805712,0.002288339042252,0.039904935583583,0.002348429826876,0.002288339042252,0.002589455397561,0.941210640056008,0.285116869342212,0.484310081630685,0.408652621314193,0.198130128463987,0,0.1784648459047,0.956349206349206,0,0.690341430759683,1,0.128593715177179,0.173125990207887,0.475479051640143,0.029546799754351,0.168323964707557,0.003013066523289,0.000463443126293,4.20050779675672E-05,0.315180284436844,0.002288339609163,0.002288339042252,4,Aglutinada
0.20997,0.529330602272819,0.006974760355673,0.006207942211708,0.146708195677268,0.039857015497389,3.00248505679868E-06,0.06769036527142,3.00248505679868E-06,0.06769036527142,0.075467734010535,0.033627195631804,9.36558957283113E-06,0.552845528455285,0.397184264088064,0.040941542918605,0.808655521639941,0.830077806396261,0.646925491412265,0.819205575576991,0,0.500457661473302,0.496641438523271,0.001940617459165,0.082517417509129,0.002069201178534,0.001940617459165,0.002227474334016,0.656158214673497,0.226753555826701,0.367707761685476,0.297231064526547,0.352832172777606,0,0.321726093659392,0,0,0,1,0.121462001337196,0.11657630360364,0.451661794955072,0.051291741579434,0.126618756225985,0.00025528362459,0.000278606236716,3.98030306716753E-05,0.651561706958025,0.001940615205664,0.001940617459165,0,Aglutinada
0.020886,0.585992697279019,7.41021973916898E-06,7.47183119638961E-06,0.113304541655057,0.02578229875085,1.66804725377704E-07,0.004806962490557,1.66804725377704E-07,0.004806962490557,0.046037129134888,0.001197795439732,0.003836990039784,0.479674796747968,0.42230193725051,0.024002144987021,0.689216251108543,0.76769806390805,0.747860142321001,0.727863393452704,1,0.501724802097514,0.351480985454885,0.002416744139753,0.000297659716384,0.002685680564575,0.002416744139753,0.002818147656562,0.164770329956744,0.224456920762852,0.221969963073247,0.334328136434608,0.627296598686867,0,0.307738002630723,0.896825396825397,0,0.638180399594935,1,0.059430948666518,0.059243773791146,0.48717115946736,0.020060411878965,0.102484168208339,0.003182203424873,0.076235562809798,3.75141324420635E-05,0.766001941735305,0.002416725077575,0.002416744139753,0,Aglutinada
0.363,0.523524508225152,0,0,0.059306213429925,0.029938276876202,1.66804725377704E-06,1.49558585313377E-06,1.66804725377704E-06,1.49558585313377E-06,0.0154144125637,0.000756669180944,0.000336624631603,0.67479674796748,0.481485820082086,0.028410254126533,0.721992760221602,0.835300346549339,0.759442769005049,0.777787732822412,1,0.500304144607472,0.432522502880992,0.003326485328475,0.000796760539112,0.003868013469681,0.003326485328475,0.003948531950033,0.827582378152331,0.241588738980649,0.300637768983441,0.508443744746879,1,0,0.246495905407126,0,0,0,1,0.041007354579898,0.088468268664456,0.395691241745155,0.499986383707133,0.077113277358759,0.004380139992288,0.786256425913415,3.51130802507975E-05,1,0.003326513182169,0.003326485328475,1,Aglutinada
