MODEL,K,SEED,SILHOUETTE,DB,CR
Kmeans,2,3,0.03555550688343928,2.2935966953997062,-0.09411010626981153
Kmeans,2,12,0.03555550688343928,2.2935966953997062,-0.09411010626981153
Kmeans,2,17,0.03555550688343928,2.2935966953997062,-0.09411010626981153
Kmeans,2,21,0.03555550688343928,2.2935966953997062,-0.09411010626981153
Kmeans,2,30,0.03555550688343928,2.2935966953997062,-0.09411010626981153
Kmeans,3,3,-0.1772147836655167,11.909996909316837,-0.10558547902529994
Kmeans,3,12,-0.17721478366551677,11.909996909316837,-0.10558547902529994
Kmeans,3,17,-0.19819710787152803,8.468966466876894,-0.10653941638801119
Kmeans,3,21,-0.19819710787152803,8.468966466876894,-0.10653941638801119
Kmeans,3,30,-0.17761552712659023,10.309003967105909,-0.10388744920806131
Kmeans,4,3,-0.17786677896759895,10.156653756203362,-0.10967936603022556
Kmeans,4,12,-0.1920129699209936,18.546494927124638,-0.10471584065545636
Kmeans,4,17,-0.17239121647085973,11.502245295620787,-0.11246889290663484
Kmeans,4,21,-0.2139437332219602,10.241635433109428,-0.11072212765513954
Kmeans,4,30,-0.21684260892050644,10.815051004552489,-0.10539877230902064
Kmeans,5,3,-0.2787061694465392,29.60727371175967,-0.10829709565795463
Kmeans,5,12,-0.20198562962184702,17.60736379329112,-0.10954713880941779
Kmeans,5,17,-0.2410131513771679,8.265846595947206,-0.1119272817063357
Kmeans,5,21,-0.22229517775143726,21.319202195555405,-0.11468316349778926
Kmeans,5,30,-0.09510681460885965,10.247368880004393,-0.07814135178134776
Kmeans,6,3,-0.17978789582521645,13.148653461234593,-0.11610897921416516
Kmeans,6,12,-0.2057237704355538,12.806598616825193,-0.11642518102860425
Kmeans,6,17,-0.19247345716431782,8.324812769913807,-0.08045294894175795
Kmeans,6,21,-0.28649214464262596,22.52300236379995,-0.11532151246411707
Kmeans,6,30,-0.15224326189602252,14.16004373958799,-0.1177851863550171
Kmeans,7,3,-0.3123553935193707,15.545304403279378,-0.11525885766485519
Kmeans,7,12,-0.2257010666051439,16.976366620568072,-0.11726017041676716
Kmeans,7,17,-0.08720420385257006,8.855637572412974,-0.08470964255145516
Kmeans,7,21,-0.25028705653611166,20.053575021528815,-0.11556882626933776
Kmeans,7,30,-0.22699247387439733,13.871271369265473,-0.07983887394165454
Kmeans,8,3,-0.2322201871230939,18.20394561961183,-0.08051975354895041
Kmeans,8,12,-0.16380082752874703,79.98073560607043,-0.11977800634290979
Kmeans,8,17,-0.12479015012790591,9.949365481373935,-0.08408134124909089
Kmeans,8,21,-0.1932977559779087,18.116474662933825,-0.0887889893832112
Kmeans,8,30,-0.25661888894999507,14.630148087236687,-0.08379645478239053
Kmeans,9,3,-0.20271470766027386,16.85889313521282,-0.08324262077269384
Kmeans,9,12,-0.15621005204830643,85.94251890297578,-0.11991337792643578
Kmeans,9,17,-0.05869171023354964,14.518065213882645,-0.08853428709155245
Kmeans,9,21,-0.22426208747633058,18.699183769531672,-0.09083555630601262
Kmeans,9,30,-0.17629796505597448,15.897490061989426,-0.08824723690080723
Kmeans,10,3,-0.34561605231392767,12.694704641102224,-0.08407855788464264
Kmeans,10,12,-0.16686106336920362,22.427810814830046,-0.08800155759925309
Kmeans,10,17,-0.1511126304948872,16.263444232466505,-0.08477569706402409
Kmeans,10,21,-0.23786091512985696,19.346919896017532,-0.0898653134023724
Kmeans,10,30,-0.18321647516050849,15.77708979329663,-0.0885200873394697
